policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2014,0,549719,General Commercial,VA,35,16,0,2
2022,0,1046373,Manufacturing,MI,122,59,0,NA
2018,0,969380,General Commercial,TX,48,19,0,3
2019,0,1704004,General Commercial,TX,108,32,0,NA
2019,0,1509348,Oil/Gas,NC,219,35,0,NA
2022,0,358229,General Commercial,CA,29,30,0,2
2016,0,618902,General Commercial,VA,104,57,0,NA
2014,0,1130966,General Commercial,IL,50,29,0,NA
2017,1,1141171,General Commercial,TX,125,27,0,NA
2019,0,1176280,Manufacturing,TX,181,24,0,NA
2021,0,490367,Manufacturing,AZ,207,36,0,NA
2023,0,981194,General Commercial,CA,131,21,0,NA
2021,0,1625198,General Commercial,NC,185,18,0,1
2015,0,1185105,General Commercial,TX,135,25,0,1
2024,0,1636762,Oil/Gas,GA,276,47,0,4
2018,0,499754,Manufacturing,FL,57,16,0,3
2020,0,1778405,Financial Services,MI,177,45,0,NA
2024,0,2294093,General Commercial,WA,637,38,0,5
2014,0,640074,General Commercial,OH,85,50,0,NA
2016,0,539048,General Commercial,CA,64,27,0,NA
2018,1,799431,General Commercial,CA,47,28,0,2
2019,1,1868788,General Commercial,CA,85,20,0,NA
2016,0,912637,Manufacturing,TX,62,23,0,3
2023,0,3168967,Financial Services,NY,238,19,1,3
2024,0,1301539,Oil/Gas,VA,198,20,0,NA
2021,0,2452942,General Commercial,IL,90,16,0,2
2022,0,932937,General Commercial,FL,118,18,0,NA
2017,0,2554016,General Commercial,TX,159,41,1,NA
2020,0,1927228,Manufacturing,GA,358,16,0,4
2022,0,1161163,General Commercial,NY,70,31,0,1
2021,0,2340008,Financial Services,GA,372,32,0,NA
2018,0,979454,Manufacturing,PA,132,16,0,NA
2018,0,584761,Financial Services,NY,39,20,0,NA
2013,0,3048339,General Commercial,GA,217,22,1,4
2017,0,673756,General Commercial,CA,13,55,0,3
2024,0,1641861,General Commercial,PA,206,48,0,3
2015,1,977374,Manufacturing,VA,154,17,0,2
2016,0,1628622,General Commercial,GA,96,16,0,1
2018,0,5374939,General Commercial,NC,455,21,1,NA
2016,0,638220,Manufacturing,WA,60,18,0,4
2018,0,1668870,General Commercial,CA,303,33,0,NA
2016,0,569931,General Commercial,TX,58,24,0,3
2013,0,758170,Financial Services,AZ,63,104,0,2
2014,0,1243409,General Commercial,FL,58,44,0,4
2015,0,2675301,General Commercial,CA,252,24,1,4
2017,0,305392,Financial Services,CA,39,21,0,2
2018,1,1918434,General Commercial,NY,241,28,0,NA
2016,0,2755100,Manufacturing,PA,256,27,1,NA
2018,1,775089,Financial Services,OH,78,18,0,3
2021,0,1599844,Manufacturing,AZ,123,21,0,NA
2020,0,1177547,Financial Services,NC,50,28,0,3
2020,0,2693916,Manufacturing,OH,323,26,1,4
2016,0,834621,General Commercial,PA,97,96,0,NA
2017,1,2423722,Financial Services,NJ,198,27,0,1
2022,0,480727,General Commercial,VA,24,19,0,4
2018,0,499426,Oil/Gas,TX,95,20,0,3
2014,0,520475,General Commercial,WA,70,23,0,5
2022,0,1223223,General Commercial,PA,135,35,0,NA
2023,0,660018,General Commercial,GA,133,17,0,NA
2013,0,277427,Financial Services,NC,21,36,0,NA
2019,0,733770,General Commercial,CA,318,23,0,2
2023,0,3912666,General Commercial,CA,970,25,1,NA
2016,0,359221,Manufacturing,FL,52,16,0,NA
2019,0,3519009,Financial Services,FL,113,20,1,3
2018,0,565623,Financial Services,VA,31,21,0,4
2022,0,602911,General Commercial,NY,24,32,0,NA
2013,0,2458634,General Commercial,MA,127,29,0,NA
2014,0,2648447,Financial Services,CA,498,20,1,NA
2020,1,2481165,Manufacturing,MA,205,24,0,3
2016,0,1207336,Financial Services,AZ,340,25,0,NA
2014,0,491527,Manufacturing,OH,26,28,0,2
2022,0,966185,Oil/Gas,MA,60,34,0,5
2019,0,1294370,General Commercial,TX,500,19,0,NA
2015,0,885591,General Commercial,NC,123,33,0,3
2022,0,1676646,Manufacturing,CA,59,46,0,3
2018,0,2264421,General Commercial,VA,201,33,0,3
2022,0,5334008,Financial Services,NC,441,16,1,3
2022,0,1921379,General Commercial,PA,138,17,0,1
2019,0,3371087,General Commercial,FL,350,55,1,1
2021,0,1061666,General Commercial,NJ,204,24,0,4
2015,0,636636,General Commercial,FL,64,64,0,3
2022,0,1185826,General Commercial,TX,185,70,0,NA
2021,0,1345398,General Commercial,NY,197,24,0,2
2015,0,4527172,General Commercial,FL,196,55,1,NA
2020,0,1487728,General Commercial,OH,207,23,0,2
2021,0,1112239,General Commercial,IL,76,58,0,4
2018,0,262667,General Commercial,AZ,11,46,0,NA
2021,0,6075590,Oil/Gas,NC,1062,32,1,4
2016,1,571054,General Commercial,FL,36,27,0,3
2019,0,493043,Manufacturing,CA,58,16,0,NA
2016,0,727896,Manufacturing,OH,188,17,0,NA
2014,0,1547120,General Commercial,NC,65,24,0,NA
2023,0,3025940,Manufacturing,OH,515,16,1,NA
2013,0,283085,Financial Services,CA,48,17,0,NA
2023,0,1991722,Oil/Gas,TX,165,25,0,4
2021,0,2828188,General Commercial,CA,369,16,1,4
2019,0,798964,Manufacturing,IL,87,16,0,3
2018,0,1248835,General Commercial,NY,89,27,0,2
2018,0,600012,General Commercial,GA,59,29,0,3
2022,0,2856322,General Commercial,IL,713,40,1,NA
2014,0,2009653,Financial Services,FL,150,39,0,NA
2021,0,819728,General Commercial,GA,28,20,0,3
2021,0,519024,General Commercial,VA,208,35,0,NA
2020,0,2779458,General Commercial,NJ,301,33,1,2
2014,0,1096047,Manufacturing,FL,70,28,0,4
2015,0,1196948,General Commercial,IL,84,16,0,NA
2023,0,1204646,Oil/Gas,IL,237,19,0,4
2017,1,2546500,General Commercial,NC,190,33,1,NA
2023,0,654022,General Commercial,TX,86,27,0,5
2014,0,1444513,General Commercial,NC,88,17,0,1
2017,1,1783059,General Commercial,NY,175,23,0,NA
2015,0,4298132,Manufacturing,IL,217,30,1,2
2022,0,778684,General Commercial,FL,59,27,0,5
2018,1,345063,Financial Services,MI,75,36,0,3
2018,0,781100,Manufacturing,IL,38,16,0,NA
2023,0,943353,General Commercial,NY,30,17,0,3
2016,0,519726,Manufacturing,WA,109,49,0,NA
2016,0,340206,Financial Services,MA,5,17,0,3
2020,0,596771,Manufacturing,PA,38,16,0,2
2014,0,567035,Manufacturing,PA,39,34,0,2
2017,0,2131833,Financial Services,IL,423,23,0,NA
2024,0,1276813,General Commercial,CA,362,43,0,NA
2019,0,509272,General Commercial,FL,203,16,0,NA
2022,0,420478,General Commercial,GA,106,16,0,3
2018,0,513390,General Commercial,NY,45,16,0,3
2021,0,1027913,Financial Services,TX,365,19,0,NA
2021,0,1617058,Financial Services,VA,181,34,0,NA
2020,0,629752,General Commercial,NY,23,27,0,NA
2019,0,565364,General Commercial,NC,23,60,0,2
2014,1,3727577,Manufacturing,MI,854,16,1,1
2018,0,175423,Manufacturing,NY,39,23,0,NA
2015,0,468533,General Commercial,PA,67,21,0,NA
2018,1,807375,Oil/Gas,OH,72,68,0,2
2017,0,1809055,General Commercial,CA,265,16,0,1
2021,0,1671312,Oil/Gas,CA,104,29,0,NA
2016,0,559647,Financial Services,FL,18,16,0,3
2020,0,1647303,General Commercial,TX,655,38,0,3
2021,0,1977216,Manufacturing,FL,442,25,0,NA
2021,0,602102,Manufacturing,TX,95,16,0,5
2016,0,757253,Manufacturing,NY,108,16,0,4
2019,1,1395878,General Commercial,NY,177,33,0,NA
2017,0,1368225,General Commercial,NY,163,20,0,NA
2016,0,401977,Manufacturing,FL,69,40,0,NA
2022,1,3783975,General Commercial,OH,148,29,1,NA
2022,0,834306,Oil/Gas,IL,76,88,0,NA
2018,0,375733,General Commercial,NY,23,71,0,NA
2014,0,564286,Manufacturing,CA,76,16,0,4
2020,0,461342,Manufacturing,CA,193,48,0,3
2014,0,135126,General Commercial,WA,48,56,0,4
2021,0,955927,Manufacturing,GA,225,16,0,5
2020,0,967137,General Commercial,PA,461,29,0,2
2014,0,275536,Manufacturing,CA,36,20,0,2
2015,0,1082297,General Commercial,NY,89,20,0,NA
2022,0,1710503,Financial Services,FL,92,36,0,NA
2020,0,735839,Financial Services,CA,45,18,0,4
2017,0,580760,Manufacturing,IL,47,23,0,5
2019,0,551029,Manufacturing,OH,54,64,0,4
2018,0,1852159,Manufacturing,TX,438,54,0,2
2022,0,544159,General Commercial,FL,19,20,0,NA
2019,0,1715184,Oil/Gas,FL,120,32,0,3
2022,0,737808,Manufacturing,NC,91,28,0,2
2016,0,580596,Manufacturing,TX,117,16,0,NA
2015,0,943686,Manufacturing,AZ,100,19,0,NA
2023,0,1351581,General Commercial,CA,143,20,0,1
2020,0,1972563,General Commercial,IL,347,22,0,3
2018,0,365250,General Commercial,TX,48,18,0,4
2015,0,560255,Manufacturing,PA,58,23,0,1
2017,0,463992,Financial Services,WA,30,24,0,NA
2020,0,2005642,Manufacturing,CA,155,33,0,NA
2016,1,769936,General Commercial,CA,544,31,0,NA
2019,2,3516726,General Commercial,MI,139,59,1,NA
2019,3,4374881,General Commercial,MI,228,62,1,NA
2017,0,652486,General Commercial,MA,56,26,0,NA
2021,0,275193,General Commercial,NJ,62,16,0,NA
2018,0,1462233,Manufacturing,TX,44,41,0,3
2014,0,471949,Financial Services,PA,53,46,0,2
2014,0,1830735,General Commercial,NY,333,16,0,NA
2019,1,3901588,General Commercial,TX,411,16,1,1
2018,1,667629,Manufacturing,TX,70,22,0,NA
2016,0,1028623,General Commercial,PA,87,34,0,3
2016,0,2615538,General Commercial,TX,347,21,1,NA
2022,0,1322413,General Commercial,FL,101,25,0,5
2017,0,1886464,Manufacturing,FL,255,43,0,NA
2014,0,650308,Manufacturing,WA,159,20,0,4
2017,0,965394,General Commercial,CA,45,43,0,4
2022,0,849516,Financial Services,TX,79,48,0,NA
2020,0,622541,General Commercial,OH,54,16,0,5
2020,0,429065,Manufacturing,NY,78,77,0,3
2015,0,967975,General Commercial,OH,83,60,0,NA
2022,0,547733,General Commercial,CA,24,26,0,NA
2020,0,2406773,General Commercial,FL,434,38,0,3
2020,0,655209,General Commercial,OH,123,21,0,NA
2022,0,890249,Financial Services,NY,65,54,0,1
2017,0,1212985,General Commercial,VA,77,67,0,NA
2022,0,1123824,General Commercial,CA,67,16,0,5
2020,0,420921,General Commercial,VA,50,34,0,1
2014,0,180728,Oil/Gas,CA,26,20,0,2
2017,0,2076501,General Commercial,IL,718,28,0,4
2017,0,4192527,Financial Services,VA,313,49,1,2
2014,1,1573027,Manufacturing,MI,285,19,0,3
2019,0,1884437,Manufacturing,IL,153,16,0,4
2018,0,1554184,Manufacturing,FL,221,69,0,NA
2021,0,1239810,Manufacturing,MI,271,16,0,NA
2022,0,1577962,General Commercial,NJ,210,44,0,NA
2017,0,1366643,Manufacturing,CA,412,46,0,2
2017,0,2944624,Manufacturing,TX,247,61,1,3
2023,0,2245833,General Commercial,FL,110,16,0,3
2021,0,708567,General Commercial,CA,134,35,0,NA
2015,0,650422,General Commercial,CA,20,16,0,NA
2019,0,469347,General Commercial,VA,61,37,0,NA
2015,0,706572,General Commercial,AZ,57,25,0,NA
2019,0,2155977,General Commercial,CA,157,61,0,3
2016,0,354228,Manufacturing,TX,23,24,0,3
2015,0,1356829,General Commercial,IL,102,53,0,NA
2020,0,1096463,General Commercial,FL,51,28,0,1
2022,0,758123,General Commercial,NY,47,27,0,3
2021,0,1138509,Manufacturing,TX,107,16,0,NA
2021,0,497582,Manufacturing,IL,27,19,0,NA
2017,0,3357748,Manufacturing,PA,526,25,1,4
2023,0,589262,Manufacturing,AZ,61,16,0,3
2019,1,2555110,General Commercial,PA,443,28,1,2
2020,2,3433493,General Commercial,MA,229,32,1,2
2016,0,5181771,Manufacturing,CA,1716,17,1,3
2019,0,1944464,General Commercial,CA,177,50,0,NA
2014,3,2022753,Manufacturing,MI,338,37,0,4
2018,0,441130,General Commercial,TX,83,24,0,4
2016,0,1696188,General Commercial,NC,248,41,0,NA
2020,1,664013,Manufacturing,GA,111,54,0,NA
2014,0,1453538,Manufacturing,MI,734,39,0,NA
2013,0,1221723,General Commercial,IL,85,62,0,NA
2022,0,437999,General Commercial,FL,125,53,0,2
2021,0,1016491,Financial Services,CA,420,34,0,NA
2013,0,361824,Oil/Gas,TX,53,16,0,4
2024,0,2091915,General Commercial,TX,306,24,0,5
2023,0,1506370,Manufacturing,IL,96,19,0,4
2017,1,1746692,Manufacturing,CA,388,21,0,3
2022,0,823516,Manufacturing,GA,96,16,0,NA
2015,0,1615740,General Commercial,TX,45,39,0,3
2020,0,1508667,Manufacturing,IL,104,30,0,NA
2019,0,1137342,General Commercial,AZ,97,29,0,4
2020,0,851290,Financial Services,FL,109,37,0,NA
2015,0,1296417,General Commercial,NJ,162,51,0,3
2020,0,2467993,General Commercial,NY,360,16,0,NA
2020,0,898680,General Commercial,CA,75,24,0,NA
2017,0,1758457,General Commercial,TX,97,23,0,1
2022,0,329036,General Commercial,FL,14,19,0,3
2023,0,3879348,Financial Services,NY,301,21,1,3
2023,0,2074907,General Commercial,NY,193,49,0,2
2018,0,637242,General Commercial,NC,64,46,0,2
2021,0,1252951,General Commercial,IL,79,24,0,3
2018,0,1363195,Financial Services,OH,339,34,0,2
2015,0,574784,General Commercial,OH,76,33,0,NA
2022,0,975380,General Commercial,TX,117,26,0,2
2022,0,972309,Financial Services,MA,62,32,0,4
2023,0,557516,General Commercial,NY,29,75,0,NA
2018,0,1027559,Manufacturing,MI,107,16,0,5
2018,0,568574,Manufacturing,NJ,34,34,0,NA
2013,0,100000,Manufacturing,CA,12,16,0,4
2017,0,2031607,General Commercial,NC,255,45,0,NA
2014,0,368069,General Commercial,GA,17,29,0,3
2016,0,434660,Manufacturing,TX,42,24,0,NA
2016,0,1769422,Financial Services,NJ,183,41,0,4
2017,0,1460638,Manufacturing,MA,95,26,0,1
2014,0,140811,Financial Services,FL,8,20,0,NA
2022,0,1030426,General Commercial,OH,125,25,0,3
2022,0,1650674,Manufacturing,CA,142,20,0,3
2014,0,1659479,Manufacturing,FL,106,16,0,2
2024,0,201153,General Commercial,NC,48,26,0,NA
2023,0,950627,Financial Services,FL,123,21,0,5
2019,0,2565515,General Commercial,TX,216,26,1,4
2024,0,1416825,General Commercial,PA,104,24,0,NA
2015,0,800574,General Commercial,CA,70,57,0,NA
2015,1,781176,General Commercial,MI,83,61,0,3
2013,0,957235,Manufacturing,FL,87,35,0,2
2014,0,245529,Financial Services,PA,28,26,0,NA
2017,5,11491878,General Commercial,CA,1065,42,1,NA
2023,0,1085592,General Commercial,FL,190,37,0,4
2020,0,913051,General Commercial,TX,45,34,0,2
2023,0,175206,Manufacturing,CA,17,44,0,2
2023,0,931397,Manufacturing,IL,94,22,0,2
2018,0,424269,Manufacturing,NC,42,31,0,3
2023,0,740020,General Commercial,FL,36,16,0,4
2022,0,467373,General Commercial,TX,33,16,0,NA
2015,0,653271,Manufacturing,OH,59,30,0,NA
2019,0,1224285,Manufacturing,IL,261,39,0,NA
2019,0,1576098,General Commercial,FL,57,31,0,NA
2022,0,433491,General Commercial,GA,55,57,0,3
2018,1,1199275,General Commercial,NC,151,24,0,NA
2017,0,1164120,Oil/Gas,NC,34,16,0,NA
2017,0,1347844,General Commercial,TX,164,21,0,NA
2023,0,732289,Manufacturing,CA,46,41,0,4
2020,0,820054,General Commercial,PA,61,16,0,NA
2014,0,474877,Financial Services,FL,19,39,0,2
2024,0,2497014,General Commercial,FL,103,38,0,1
2023,0,998232,General Commercial,CA,96,29,0,NA
2017,0,754134,Financial Services,WA,34,32,0,NA
2022,0,684103,Manufacturing,NC,70,19,0,2
2017,0,1222644,General Commercial,MI,54,53,0,NA
2022,0,1489406,General Commercial,CA,207,26,0,NA
2022,0,1243811,General Commercial,NY,89,25,0,4
2019,0,4007716,General Commercial,FL,504,16,1,4
2020,0,747766,Oil/Gas,NC,77,37,0,1
2013,0,1429307,General Commercial,PA,198,36,0,NA
2023,0,313238,General Commercial,IL,69,24,0,4
2013,0,588567,General Commercial,WA,130,28,0,3
2016,0,1161884,Manufacturing,TX,217,34,0,2
2021,0,1347623,Manufacturing,NC,229,58,0,NA
2023,0,635358,General Commercial,MI,32,29,0,NA
2014,0,3432840,General Commercial,GA,502,19,1,3
2017,0,1900315,Oil/Gas,IL,184,52,0,5
2021,0,282557,Manufacturing,CA,17,37,0,5
2015,0,1748361,Manufacturing,CA,127,23,0,3
2017,0,561361,General Commercial,NY,25,54,0,NA
2021,0,1238824,Oil/Gas,OH,167,34,0,2
2022,0,2412133,Manufacturing,MA,567,27,0,NA
2017,0,739930,Manufacturing,PA,63,83,0,4
2016,0,2438035,Manufacturing,FL,165,28,0,NA
2019,0,738955,Manufacturing,MA,61,16,0,3
2014,0,777803,General Commercial,CA,196,28,0,NA
2019,1,747603,General Commercial,MA,169,39,0,NA
2022,0,3099222,Financial Services,FL,363,30,1,2
2020,1,596996,General Commercial,CA,72,44,0,3
2020,0,375521,Financial Services,OH,77,67,0,2
2015,0,662710,Manufacturing,MA,28,35,0,5
2019,0,1242501,Manufacturing,CA,288,29,0,NA
2016,0,903532,Financial Services,CA,113,25,0,1
2017,1,1742473,Manufacturing,PA,432,16,0,NA
2014,0,1868391,General Commercial,OH,129,23,0,NA
2023,0,2893787,Financial Services,TX,220,25,1,NA
2023,0,1297359,Manufacturing,FL,45,51,0,4
2015,-1,2496685,General Commercial,OH,152,33,0,2
2018,0,395271,Financial Services,OH,61,32,0,2
2014,0,846050,General Commercial,OH,152,63,0,NA
2015,1,3062069,Manufacturing,NJ,374,46,1,3
2021,0,1058700,General Commercial,CA,101,18,0,2
2013,0,1839399,General Commercial,TX,287,20,0,NA
2020,0,1536992,Oil/Gas,IL,151,35,0,5
2023,0,1914116,General Commercial,MA,394,27,0,NA
2013,0,345336,General Commercial,FL,76,16,0,NA
2024,0,1401914,Financial Services,IL,314,21,0,5
2016,0,777142,Oil/Gas,NJ,61,38,0,3
2015,0,1230502,Financial Services,NC,35,31,0,3
2022,0,501404,Financial Services,CA,33,32,0,5
2019,0,690777,General Commercial,WA,143,16,0,2
2017,0,677393,General Commercial,NY,33,63,0,NA
2015,0,157156,Financial Services,TX,12,33,0,NA
2024,0,261477,Financial Services,GA,14,16,0,3
2023,0,627248,General Commercial,MA,56,38,0,3
2021,0,713900,Manufacturing,NC,295,23,0,NA
2021,1,1143276,General Commercial,PA,408,33,0,3
2018,0,1471556,Manufacturing,AZ,150,71,0,2
2022,0,1011823,General Commercial,AZ,58,27,0,NA
2015,0,561745,General Commercial,FL,26,31,0,2
2024,0,472650,Oil/Gas,TX,65,17,0,2
2016,0,1761263,Financial Services,CA,256,18,0,3
2020,0,2312747,General Commercial,NC,250,24,0,2
2017,0,408336,General Commercial,NY,72,38,0,3
2018,0,1120655,General Commercial,WA,221,16,0,NA
2022,0,932977,General Commercial,NJ,80,36,0,5
2023,0,1731243,Manufacturing,NY,139,37,0,NA
2020,0,421861,General Commercial,CA,89,18,0,NA
2019,0,325423,Financial Services,CA,48,57,0,NA
2022,0,1319109,Oil/Gas,IL,247,40,0,2
2019,0,210266,Financial Services,VA,13,30,0,NA
2023,0,633146,General Commercial,MI,66,22,0,NA
2024,0,1885004,General Commercial,TX,342,16,0,NA
2020,0,1571755,General Commercial,TX,276,25,0,NA
2017,2,3811558,General Commercial,CA,377,16,1,3
2015,0,1876260,Manufacturing,TX,116,19,0,3
2023,0,554650,General Commercial,NJ,87,16,0,5
2022,0,726200,Manufacturing,GA,43,16,0,4
2021,0,969910,Financial Services,FL,129,16,0,2
2020,1,1343419,General Commercial,CA,383,22,0,NA
2021,0,431435,General Commercial,NC,77,50,0,4
2023,0,880597,General Commercial,VA,82,44,0,3
2023,0,2431803,Oil/Gas,CA,266,32,0,2
2020,0,1216283,Oil/Gas,TX,460,32,0,4
2022,0,NA,Manufacturing,NJ,108,22,0,NA
2021,0,953120,Manufacturing,CA,69,18,0,3
2016,0,299285,Manufacturing,CA,44,41,0,NA
2019,0,1174588,General Commercial,PA,41,29,0,NA
2016,0,464995,General Commercial,CA,33,25,0,3
2021,0,316004,Financial Services,CA,76,22,0,NA
2024,0,1440041,General Commercial,PA,123,19,0,3
2013,1,777363,General Commercial,AZ,182,27,0,NA
2019,0,977974,General Commercial,PA,136,67,0,4
2016,0,1844267,Financial Services,NJ,108,18,0,NA
2020,0,589673,Financial Services,GA,57,17,0,3
2021,0,536487,General Commercial,FL,45,30,0,1
2023,0,455860,Financial Services,TX,34,60,0,2
2020,0,1749207,General Commercial,NY,190,22,0,3
2017,0,997490,General Commercial,NY,43,35,0,2
2017,0,777730,General Commercial,FL,190,62,0,3
2015,0,746095,Financial Services,PA,101,19,0,NA
2020,0,1002392,General Commercial,TX,45,17,0,NA
2018,0,1191642,Oil/Gas,NY,39,23,0,4
2020,0,331206,Manufacturing,IL,32,50,0,5
2017,0,1372731,Manufacturing,IL,305,17,0,NA
2022,0,317993,Manufacturing,TX,15,23,0,4
2014,0,228115,General Commercial,CA,86,35,0,3
2016,0,1304971,Manufacturing,TX,162,16,0,3
2017,0,794246,General Commercial,TX,35,43,0,2
2015,0,934345,General Commercial,TX,194,26,0,2
2020,2,2769208,General Commercial,MI,389,16,1,1
2020,-1,3810801,General Commercial,TX,849,26,1,2
2019,2,1766199,General Commercial,MI,167,39,0,NA
2018,0,603953,General Commercial,NJ,126,38,0,NA
2020,0,537731,Manufacturing,CA,56,27,0,5
2021,0,315528,Financial Services,FL,74,68,0,3
2024,0,418791,Financial Services,CA,30,25,0,NA
2019,1,1987342,General Commercial,NY,54,29,0,3
2014,0,474293,Manufacturing,IL,65,24,0,NA
2019,0,449916,Manufacturing,AZ,28,35,0,NA
2013,0,2529557,Financial Services,NC,354,30,1,4
2017,1,2621803,Manufacturing,GA,151,51,1,NA
2019,0,518497,Manufacturing,CA,68,29,0,NA
2015,0,980517,Manufacturing,GA,107,23,0,2
2016,0,1134209,Financial Services,VA,450,52,0,3
2017,0,1049194,General Commercial,NJ,166,35,0,NA
2016,0,372153,General Commercial,TX,19,18,0,4
2023,0,720545,General Commercial,TX,71,31,0,5
2021,0,1529723,Financial Services,CA,211,37,0,3
2015,0,768952,General Commercial,NJ,57,52,0,NA
2015,0,772487,Oil/Gas,FL,60,24,0,4
2017,0,582177,Manufacturing,MI,36,28,0,3
2023,0,1387992,General Commercial,CA,77,21,0,2
2023,0,1240118,Manufacturing,FL,24,35,0,3
2017,0,1513993,General Commercial,TX,620,16,0,4
2024,0,367344,Oil/Gas,MI,7,16,0,NA
2023,0,1205799,General Commercial,IL,243,49,0,2
2023,0,684244,General Commercial,GA,30,16,0,5
2014,0,621764,General Commercial,NJ,26,18,0,4
2015,0,720480,General Commercial,CA,68,36,0,4
2019,3,3201045,Manufacturing,NY,494,21,1,NA
2017,0,1347185,Manufacturing,CA,72,24,0,1
2022,1,643768,General Commercial,OH,31,28,0,3
2017,0,634379,Manufacturing,CA,22,18,0,4
2024,0,1844140,Manufacturing,GA,122,25,0,NA
2015,0,739743,Financial Services,FL,109,31,0,3
2021,0,1597980,General Commercial,WA,275,29,0,1
2018,0,1006553,General Commercial,OH,104,46,0,NA
2019,0,171208,Manufacturing,MA,38,16,0,1
2024,0,849490,General Commercial,NC,53,40,0,NA
2021,0,1897271,Manufacturing,CA,178,43,0,4
2022,0,1486201,General Commercial,CA,72,27,0,NA
2017,0,762559,General Commercial,TX,334,28,0,NA
2015,0,1668572,General Commercial,MI,45,24,0,4
2014,0,804421,General Commercial,WA,75,21,0,3
2016,0,415392,General Commercial,NY,29,17,0,5
2021,0,528342,Manufacturing,CA,38,24,0,3
2015,0,566555,Manufacturing,NY,128,31,0,NA
2014,0,681904,General Commercial,TX,52,17,0,3
2020,0,712256,General Commercial,CA,105,53,0,4
2013,0,378718,General Commercial,MI,63,52,0,NA
2022,0,2515050,Manufacturing,CA,779,29,1,NA
